Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
457,Ramen y más,,RAMEN QUATTRO CHEESE - BULDAK,24.0,unid.,,,5.0,unid.,,39.0,
443,Ramen y más,,RAMEN ROSÉ - BULDAK,0.0,unid.,,,5.0,unid.,DOKSURI,35.0,
357,Ramen y más,,RAMEN SAMYANG ORIGINAL - SAMYANG,0.0,unid.,,,5.0,unid.,Asiaon Mart,38.64,
191,Ramen y más,,RAMEN SHIN RAMYUN - NONGSHIM,0.0,unid.,,,5.0,unid.,,38.75,
874,Ramen y más,,SHIN RAMYUN TOOMBA,,,,,,,,,
456,Refrescos,,ARIZONA 591 ml,,,,,,,,14.08,
309,Refrescos,,COCA COLA 355ml,8.0,unid.,8.0,unid.,5.0,unid.,,,
893,Refrescos,,Jarritos lata 355ml,,,,,,,,,
650,SALSAS BONELESS,,AJO PARMESANO ADEREZO G,0.0,unid.,,,,,,71.05,
461,SALSAS BONELESS,,AJO PARMESANO ADEREZO M,0.0,unid.,,,,,,,
426,SALSAS BONELESS,,BBQ A LA DIABLA SALSA CH,0.0,unid.,,,,,,,
330,SALSAS BONELESS,,BBQ CHIPOTLE SALSA G,,,,,,,Mr Wings,,
298,SALSAS BONELESS,,BBQ HABANERO SALSA CH,0.0,unid.,,,,,Mr Wings,,
331,SALSAS BONELESS,,BBQ HABANERO SALSA G,0.0,unid.,,,,,Mr Wings,,
287,SALSAS BONELESS,,BBQ SALSA CH,0.0,unid.,,,,,Mr Wings,,
332,SALSAS BONELESS,,BBQ SALSA G,0.0,unid.,,,,,Mr Wings,,
727,SALSAS BONELESS,,BÚFALO CHAMPI SALSA CH,10.0,unid.,,,,,,,
728,SALSAS BONELESS,,BÚFALO CHAMPI SALSA G,7.0,unid.,,,,,,,
291,SALSAS BONELESS,,BÚFALO SALSA CH,0.0,unid.,,,,,Mr Wings,,
333,SALSAS BONELESS,,BÚFALO SALSA G,0.0,unid.,,,,,Mr Wings,,
290,SALSAS BONELESS,,CAJÚN SALSA CH,3.0,unid.,,,,,Mr Wings,,
334,SALSAS BONELESS,,CAJÚN SALSA G,2.0,unid.,,,,,Mr Wings,,
820,SALSAS BONELESS,,CHEETOS SALSA CH,,,,,,,,,
821,SALSAS BONELESS,,CHEETOS SALSA G,,,,,,,,,
288,SALSAS BONELESS,,CHINGU TERIYAKI SALSA CH,10.0,unid.,,,,,Mr Wings,,
335,SALSAS BONELESS,,CHINGU TERIYAKI SALSA G,7.0,unid.,,,,,Mr Wings,,
817,SALSAS BONELESS,,DORITOS NACHO SALSA G,,,,,,,,,
362,SALSAS BONELESS,,FLAMIN HOT SALSA CH,0.0,unid.,,,,,,,
366,SALSAS BONELESS,,FLAMIN HOT SALSA G,0.0,unid.,,,,,,,
361,SALSAS BONELESS,,FRESA SPICY SALSA CH,0.0,unid.,,,,,,,
364,SALSAS BONELESS,,FRESA SPICY SALSA G,0.0,unid.,,,,,,,
363,SALSAS BONELESS,,JALAPEÑO SPICY SALSA CH,0.0,unid.,,,,,,,
367,SALSAS BONELESS,,JALAPEÑO SPICY SALSA G,0.0,unid.,,,,,,,
382,SALSAS BONELESS,,KRAZY HOT SALSA CH,47.0,unid.,,,,,,,
383,SALSAS BONELESS,,KRAZY HOT SALSA G,31.0,unid.,,,,,,,
352,SALSAS BONELESS,,LEMON PEPPER SALSA CH,0.0,unid.,,,,,Mr Wings,,
353,SALSAS BONELESS,,LEMON PEPPER SALSA G,0.0,unid.,,,,,,,
735,SALSAS BONELESS,,LOUISIANA SALSA CH,61.0,unid.,,,,,,,
736,SALSAS BONELESS,,LOUISIANA SALSA G,41.0,unid.,,,,,,,
360,SALSAS BONELESS,,MANGO GUAJILLO SALSA CH,0.0,unid.,,,,,,,
365,SALSAS BONELESS,,MANGO GUAJILLO SALSA G,0.0,unid.,,,,,,,
296,SALSAS BONELESS,,MANGO HABANERO SALSA CH,0.0,unid.,,,,,Mr Wings,,
336,SALSAS BONELESS,,MANGO HABANERO SALSA G,0.0,unid.,,,,,Mr Wings,,
733,SALSAS BONELESS,,MANGO HABANERO X2 SALSA CH,139.0,unid.,,,,,,,
734,SALSAS BONELESS,,MANGO HABANERO X2 SALSA G,93.0,unid.,,,,,,,
292,SALSAS BONELESS,,MANGO HOT SALSA CH,0.0,unid.,,,,,Mr Wings,,
337,SALSAS BONELESS,,MANGO HOT SALSA G,0.0,unid.,,,,,Mr Wings,,
